Geographic name,percent elderly 65+ 2016,percent elderly 85+ 2016,percent elderly 65+ 2011,percent elderly 85+ 2011,Latitude,Longitude,predicted 65+,predicted 85+
Portugal Cove South,20.0,0.0,15.625,0.0,47.613369,-52.842377,27.875,0.0
Trepassey,36.734693877551024,2.0408163265306123,22.807017543859647,1.7543859649122806,46.737496,-53.364128,61.804511278195605,2.556390977443627
St. Shott's,42.857142857142854,0.0,12.5,0.0,52.89,-60.511,97.5,0.0
Cape Broyle,19.148936170212767,0.0,20.0,2.0,47.095251,-52.95655,17.61702127659578,0.0
Renews-Cappahayden,29.03225806451613,0.0,15.151515151515152,3.0303030303030303,46.88541,-52.935499,54.01759530791787,0.0
Fermeuse,23.333333333333332,3.3333333333333335,15.625,0.0,46.976139,-52.944003,37.20833333333303,9.333333333333485
Aquaforte,37.5,0.0,25.0,0.0,47.006499,-52.958695,60.0,0.0
Ferryland,25.301204819277107,2.4096385542168677,19.35483870967742,2.1505376344086025,47.035664,-52.884379,36.00466381655633,2.87602020987174
Gaskiers-Point La Haye,32.0,0.0,25.0,0.0,52.89,-60.511,44.600000000000364,0.0
Riverhead,29.72972972972973,0.0,21.428571428571427,0.0,52.89,-60.511,44.6718146718149,0.0
Mount Carmel-Mitchells Brook-St. Catherine's,32.35294117647059,0.0,25.71428571428571,2.857142857142857,47.132321,-53.497723,44.302521008403346,0.0
Colinet,33.33333333333333,0.0,33.33333333333333,0.0,47.219266,-53.552108,33.33333333333333,0.0
Branch,23.809523809523807,4.761904761904762,13.636363636363637,0.0,46.88206,-53.953498,42.121212121211556,13.333333333333258
Placentia,27.966101694915253,3.954802259887006,22.371967654986523,4.31266846361186,47.364083,-53.857708,38.03554296678749,3.3106430931822786
Fox Harbour,23.52941176470588,0.0,18.51851851851852,0.0,47.32123,-53.91255,32.54901960784332,0.0
Long Harbour-Mount Arlington Heights,25.0,0.0,19.35483870967742,3.225806451612903,47.385673,-53.756172,35.1612903225805,0.0
Southern Harbour,18.91891891891892,0.0,14.000000000000002,0.0,47.714619,-53.972145,27.772972972972866,0.0
Arnold's Cove,23.958333333333336,1.0416666666666663,17.708333333333336,1.0416666666666663,47.772662,-53.9785,35.208333333333485,1.0416666666666663
Come By Chance,17.391304347826086,0.0,25.0,0.0,47.802766,-53.998434,3.695652173913004,0.0
Sunnyside,25.64102564102564,0.0,17.391304347826086,0.0,47.897371,-53.949718,40.4905239687846,0.0
Chance Cove,36.0,0.0,27.58620689655172,0.0,47.650815,-53.800656,51.1448275862067,0.0
Norman's Cove-Long Cove,30.303030303030305,4.545454545454546,23.28767123287671,4.10958904109589,47.561807,-53.695672,42.93067662930662,5.330012453300128
Chapel Arm,24.444444444444443,2.2222222222222223,19.148936170212767,0.0,47.518965,-53.674622,33.97635933806123,6.222222222222285
Whitbourne,23.52941176470588,1.1764705882352942,20.224719101123593,1.1235955056179776,47.420064,-53.535784,29.47785855915413,1.2716457369464642
Whiteway,31.08108108108108,6.756756756756757,27.58620689655172,5.172413793103448,47.665428,-53.485436,37.37185461323406,9.608574091332684
