Geographic name,percent elderly 65+ 2016,percent elderly 85+ 2016,percent elderly 65+ 2011,percent elderly 85+ 2011,Latitude,Longitude,predicted 65+,predicted 85+
Harbour Grace,24.836601307189543,1.96078431372549,19.5046439628483,2.1671826625387,47.696724,-53.21369,26.969384244926005,1.878224974200208
Upper Island Cove,21.474358974358974,1.6025641025641024,17.86833855799373,1.2539184952978055,47.648062,-53.212829,22.916767140904994,1.742022345470616
Bishop's Cove,26.666666666666668,0.0,23.333333333333332,0.0,52.89,-60.511,28.0,0.0
Spaniard's Bay,18.846153846153847,0.7692307692307693,14.942528735632186,0.7662835249042145,47.58166,-53.273277,20.407603890362452,0.7704096669613912
Bay Roberts,18.19757365684575,1.0398613518197577,14.385964912280702,1.0526315789473684,47.598168,-53.257591,19.722217154671853,1.0347532609687136
North River,18.96551724137931,1.7241379310344829,15.789473684210526,1.7543859649122806,47.542792,-53.314469,20.23593466424677,1.712038717483365
Clarke's Beach,34.08360128617363,7.395498392282958,24.014336917562723,7.168458781362006,47.552354,-53.285857,38.11130703361823,7.4863142366513244
South River,20.8955223880597,2.9850746268656714,13.432835820895525,0.0,47.554499,-53.287575,23.88059701492557,4.179104477611872
Cupids,22.22222222222222,1.3888888888888888,16.43835616438356,1.36986301369863,47.561551,-53.205869,24.53576864535762,1.396499238964993
Brigus,26.38888888888889,0.0,20.27027027027027,0.0,47.535825,-53.207761,28.836336336336444,0.0
Colliers,21.53846153846154,1.5384615384615383,15.384615384615383,0.0,52.89,-60.511,24.0,2.153846153846075
Conception Harbour,20.437956204379564,1.45985401459854,16.428571428571427,1.4285714285714286,47.446647,-53.203554,22.041710114702937,1.4723670490093834
Avondale,21.875,1.5625,18.96551724137931,0.0,47.420665,-53.198308,23.03879310344837,2.1875
Harbour Main-Chapel's Cove-Lakeview,19.158878504672895,2.803738317757009,14.285714285714285,2.3041474654377883,47.432795,-53.160254,21.108144192256304,3.0035746586846983
Holyrood,21.22448979591837,2.0408163265306123,16.097560975609756,1.951219512195122,47.379666,-53.165663,23.275261324041594,2.0766550522648117
Conception Bay South,13.63106796116505,0.6601941747572815,11.088295687885012,0.5338809034907598,47.49821,-52.990122,14.64817687047696,0.7107194832638939
Wabana,24.0,1.0,17.647058823529413,0.904977375565611,52.89,-60.511,26.541176470588653,1.0380090497737555
Portugal Cove-St. Philip's,12.5,0.6127450980392157,10.273972602739724,0.684931506849315,47.613369,-52.842377,13.390410958904113,0.583870534515178
Pouch Cove,13.861386138613865,1.4851485148514851,11.538461538461538,0.5494505494505495,47.763632,-52.765906,14.790555978674888,1.859427701011839
Flatrock,8.187134502923977,0.5847953216374269,7.586206896551724,0.0,47.700755,-52.726367,8.427505545472883,0.8187134502924209
Torbay,9.585492227979271,0.38860103626943,6.815020862308763,0.278164116828929,47.66621,-52.77041,10.693680774247468,0.432775804045626
Logy Bay-Middle Cove-Outer Cove,15.315315315315312,0.9009009009009008,12.38095238095238,0.9523809523809524,47.623843,-52.691422,16.48906048906042,0.8803088803088812
Bauline,11.363636363636363,2.272727272727273,12.82051282051282,0.0,47.710021,-52.80932,10.780885780885797,3.18181818181813
Paradise,7.88224121557455,0.4273504273504274,6.145893164847789,0.4595060310166571,47.531548,-52.846628,8.576780435865317,0.4144881858839362
