Geographic name,percent elderly 65+ 2016,percent elderly 85+ 2016,percent elderly 65+ 2011,percent elderly 85+ 2011,Latitude,Longitude,predicted 65+,predicted 85+
Portugal Cove South,20.0,0.0,15.625,0.0,47.613369,-52.842377,27.0,0.0
Trepassey,36.734693877551024,2.0408163265306123,22.807017543859647,1.7543859649122806,46.737496,-53.364128,59.0189760114572,2.4991049051199496
St. Shott's,42.857142857142854,0.0,12.5,0.0,52.89,-60.511,91.42857142857065,0.0
Cape Broyle,19.148936170212767,0.0,20.0,2.0,47.095251,-52.95655,17.787234042553223,0.0
Renews-Cappahayden,29.03225806451613,0.0,15.151515151515152,3.0303030303030303,46.88541,-52.935499,51.24144672531747,0.0
Fermeuse,23.333333333333332,3.3333333333333335,15.625,0.0,46.976139,-52.944003,35.666666666666515,8.666666666666742
Aquaforte,37.5,0.0,25.0,0.0,47.006499,-52.958695,57.5,0.0
Ferryland,25.301204819277107,2.4096385542168677,19.35483870967742,2.1505376344086025,47.035664,-52.884379,34.81539059463648,2.8242000259100877
Gaskiers-Point La Haye,32.0,0.0,25.0,0.0,52.89,-60.511,43.20000000000027,0.0
Riverhead,29.72972972972973,0.0,21.428571428571427,0.0,52.89,-60.511,43.0115830115833,0.0
Mount Carmel-Mitchells Brook-St. Catherine's,32.35294117647059,0.0,25.71428571428571,2.857142857142857,47.132321,-53.497723,42.97478991596654,0.0
Colinet,33.33333333333333,0.0,33.33333333333333,0.0,47.219266,-53.552108,33.33333333333333,0.0
Branch,23.809523809523807,4.761904761904762,13.636363636363637,0.0,46.88206,-53.953498,40.08658008657994,12.380952380952294
Placentia,27.966101694915253,3.954802259887006,22.371967654986523,4.31266846361186,47.364083,-53.857708,36.91671615880159,3.3822163339272606
Fox Harbour,23.52941176470588,0.0,18.51851851851852,0.0,47.32123,-53.91255,31.5468409586058,0.0
Long Harbour-Mount Arlington Heights,25.0,0.0,19.35483870967742,3.225806451612903,47.385673,-53.756172,34.0322580645161,0.0
Southern Harbour,18.91891891891892,0.0,14.000000000000002,0.0,47.714619,-53.972145,26.789189189189074,0.0
Arnold's Cove,23.958333333333336,1.0416666666666663,17.708333333333336,1.0416666666666663,47.772662,-53.9785,33.958333333333485,1.0416666666666663
Come By Chance,17.391304347826086,0.0,25.0,0.0,47.802766,-53.998434,5.217391304347984,0.0
Sunnyside,25.64102564102564,0.0,17.391304347826086,0.0,47.897371,-53.949718,38.84057971014454,0.0
Chance Cove,36.0,0.0,27.58620689655172,0.0,47.650815,-53.800656,49.46206896551712,0.0
Norman's Cove-Long Cove,30.303030303030305,4.545454545454546,23.28767123287671,4.10958904109589,47.561807,-53.695672,41.527604815275936,5.242839352428376
Chapel Arm,24.444444444444443,2.2222222222222223,19.148936170212767,0.0,47.518965,-53.674622,32.91725768321476,5.777777777777828
Whitbourne,23.52941176470588,1.1764705882352942,20.224719101123593,1.1235955056179776,47.420064,-53.535784,28.81692002643763,1.2610707204230032
Whiteway,31.08108108108108,6.756756756756757,27.58620689655172,5.172413793103448,47.665428,-53.485436,36.672879776328045,9.291705498602028
Heart's Delight-Islington,29.230769230769234,0.0,22.388059701492537,1.4925373134328357,47.759507,-53.481573,40.17910447761187,0.0
Heart's Desire,25.0,0.0,19.047619047619047,0.0,47.810467,-53.445571,34.52380952380963,0.0
Heart's Content,29.411764705882355,0.0,27.77777777777778,0.0,47.872161,-53.368424,32.026143790849574,0.0
New Perlican,26.31578947368421,0.0,19.047619047619047,0.0,47.907784,-53.361034,37.94486215538882,0.0
Winterton,36.95652173913043,4.3478260869565215,28.000000000000004,2.0,47.955667,-53.329588,51.28695652173883,8.10434782608695
Hant's Harbour,25.806451612903224,0.0,24.24242424242424,3.0303030303030303,48.005558,-53.26773,28.308895405669546,0.0
Old Perlican,18.181818181818183,3.0303030303030303,16.666666666666664,3.0303030303030303,48.082531,-53.005519,20.606060606060623,3.0303030303030303
Bay de Verde,30.76923076923077,2.564102564102564,21.951219512195124,0.0,48.085194,-52.895034,44.878048780487916,6.666666666666515
Small Point-Adam's Cove-Blackhead-Broad Cove,26.31578947368421,0.0,25.64102564102564,2.564102564102564,47.837682,-53.098649,27.395411605937937,0.0
Salmon Cove,23.52941176470588,0.0,18.181818181818183,0.0,47.782033,-53.175116,32.08556149732658,0.0
Carbonear,25.0,4.069767441860465,22.664015904572565,4.572564612326044,47.722624,-53.228726,28.737574552683895,3.265291969115566
Harbour Grace,24.836601307189543,1.96078431372549,19.5046439628483,2.1671826625387,47.696724,-53.21369,33.3677330581354,1.6305469556243537
Upper Island Cove,21.474358974358974,1.6025641025641024,17.86833855799373,1.2539184952978055,47.648062,-53.212829,27.2439916405433,2.160397074190172
