Geographic name,percent elderly 65+ 2016,percent elderly 85+ 2016,percent elderly 65+ 2011,percent elderly 85+ 2011,Latitude,Longitude,predicted 65+,predicted 85+
Portugal Cove South,20.0,0.0,15.625,0.0,47.613369,-52.842377,22.625,0.0
Trepassey,36.734693877551024,2.0408163265306123,22.807017543859647,1.7543859649122806,46.737496,-53.364128,45.091299677766074,2.2126745435016204
St. Shott's,42.857142857142854,0.0,12.5,0.0,52.89,-60.511,61.07142857142753,0.0
Cape Broyle,19.148936170212767,0.0,20.0,2.0,47.095251,-52.95655,18.638297872340445,0.0
Renews-Cappahayden,29.03225806451613,0.0,15.151515151515152,3.0303030303030303,46.88541,-52.935499,37.36070381231639,0.0
Fermeuse,23.333333333333332,3.3333333333333335,15.625,0.0,46.976139,-52.944003,27.95833333333303,5.333333333333485
Aquaforte,37.5,0.0,25.0,0.0,47.006499,-52.958695,45.0,0.0
Ferryland,25.301204819277107,2.4096385542168677,19.35483870967742,2.1505376344086025,47.035664,-52.884379,28.86902448503679,2.565099106101826
Gaskiers-Point La Haye,32.0,0.0,25.0,0.0,52.89,-60.511,36.20000000000027,0.0
Riverhead,29.72972972972973,0.0,21.428571428571427,0.0,52.89,-60.511,34.71042471042483,0.0
Mount Carmel-Mitchells Brook-St. Catherine's,32.35294117647059,0.0,25.71428571428571,2.857142857142857,47.132321,-53.497723,36.3361344537816,0.0
Colinet,33.33333333333333,0.0,33.33333333333333,0.0,47.219266,-53.552108,33.33333333333333,0.0
Branch,23.809523809523807,4.761904761904762,13.636363636363637,0.0,46.88206,-53.953498,29.913419913420057,7.619047619047478
Placentia,27.966101694915253,3.954802259887006,22.371967654986523,4.31266846361186,47.364083,-53.857708,31.322582118873015,3.740082537652114
Fox Harbour,23.52941176470588,0.0,18.51851851851852,0.0,47.32123,-53.91255,26.53594771241842,0.0
Long Harbour-Mount Arlington Heights,25.0,0.0,19.35483870967742,3.225806451612903,47.385673,-53.756172,28.38709677419365,0.0
Southern Harbour,18.91891891891892,0.0,14.000000000000002,0.0,47.714619,-53.972145,21.87027027027011,0.0
Arnold's Cove,23.958333333333336,1.0416666666666663,17.708333333333336,1.0416666666666663,47.772662,-53.9785,27.708333333333485,1.0416666666666663
Come By Chance,17.391304347826086,0.0,25.0,0.0,47.802766,-53.998434,12.826086956521522,0.0
Sunnyside,25.64102564102564,0.0,17.391304347826086,0.0,47.897371,-53.949718,30.59085841694514,0.0
Chance Cove,36.0,0.0,27.58620689655172,0.0,47.650815,-53.800656,41.04827586206875,0.0
Norman's Cove-Long Cove,30.303030303030305,4.545454545454546,23.28767123287671,4.10958904109589,47.561807,-53.695672,34.51224574512253,4.806973848069731
Chapel Arm,24.444444444444443,2.2222222222222223,19.148936170212767,0.0,47.518965,-53.674622,27.621749408983305,3.555555555555543
Whitbourne,23.52941176470588,1.1764705882352942,20.224719101123593,1.1235955056179776,47.420064,-53.535784,25.512227362855356,1.2081956378056873
