Geographic name,percent elderly 65+,percent elderly 85+,Latitude,Longitude
Portugal Cove South,20.0,0.0,47.613369,-52.842377
Portugal Cove South,18.75,0.0,47.613369,-52.842377
Portugal Cove South,20.0,0.0,47.613369,-52.842377
Trepassey,36.734693877551024,2.0408163265306123,46.737496,-53.364128
Trepassey,34.375,2.083333333333333,46.737496,-53.364128
Trepassey,31.25,2.083333333333333,46.737496,-53.364128
St. Shott's,42.857142857142854,0.0,52.89,-60.511
St. Shott's,46.15384615384615,0.0,52.89,-60.511
St. Shott's,66.66666666666666,0.0,52.89,-60.511
Cape Broyle,19.148936170212767,0.0,47.095251,-52.95655
Cape Broyle,23.52941176470588,1.9607843137254901,47.095251,-52.95655
Cape Broyle,22.448979591836736,2.0408163265306123,47.095251,-52.95655
Renews-Cappahayden,29.03225806451613,0.0,46.88541,-52.935499
Renews-Cappahayden,26.666666666666668,3.3333333333333335,46.88541,-52.935499
Renews-Cappahayden,28.333333333333332,3.3333333333333335,46.88541,-52.935499
Fermeuse,23.333333333333332,3.3333333333333335,46.976139,-52.944003
Fermeuse,32.30769230769231,9.230769230769232,46.976139,-52.944003
Fermeuse,40.0,17.142857142857142,46.976139,-52.944003
Aquaforte,37.5,0.0,47.006499,-52.958695
Aquaforte,37.5,0.0,47.006499,-52.958695
Aquaforte,37.5,0.0,47.006499,-52.958695
Ferryland,25.301204819277107,2.4096385542168677,47.035664,-52.884379
Ferryland,22.727272727272727,2.272727272727273,47.035664,-52.884379
Ferryland,25.64102564102564,2.564102564102564,47.035664,-52.884379
Gaskiers-Point La Haye,32.0,0.0,52.89,-60.511
Gaskiers-Point La Haye,42.857142857142854,0.0,52.89,-60.511
Gaskiers-Point La Haye,34.78260869565217,2.1739130434782608,52.89,-60.511
Riverhead,29.72972972972973,0.0,52.89,-60.511
Riverhead,27.77777777777778,0.0,52.89,-60.511
Riverhead,31.57894736842105,5.263157894736842,52.89,-60.511
Mount Carmel-Mitchells Brook-St. Catherine's,32.35294117647059,0.0,47.132321,-53.497723
Mount Carmel-Mitchells Brook-St. Catherine's,34.78260869565217,2.898550724637681,47.132321,-53.497723
Mount Carmel-Mitchells Brook-St. Catherine's,36.11111111111111,2.7777777777777777,47.132321,-53.497723
Colinet,33.33333333333333,0.0,47.219266,-53.552108
Colinet,28.57142857142857,0.0,47.219266,-53.552108
Colinet,31.25,0.0,47.219266,-53.552108
Branch,23.809523809523807,4.761904761904762,46.88206,-53.953498
Branch,26.08695652173913,2.1739130434782608,46.88206,-53.953498
Branch,29.166666666666668,0.0,46.88206,-53.953498
Placentia,27.966101694915253,3.954802259887006,47.364083,-53.857708
Placentia,24.347826086956523,1.7391304347826086,47.364083,-53.857708
Placentia,26.180257510729614,2.7181688125894135,47.364083,-53.857708
Fox Harbour,23.52941176470588,0.0,47.32123,-53.91255
Fox Harbour,26.923076923076923,0.0,47.32123,-53.91255
Fox Harbour,20.833333333333336,0.0,47.32123,-53.91255
Long Harbour-Mount Arlington Heights,25.0,0.0,47.385673,-53.756172
Long Harbour-Mount Arlington Heights,29.411764705882355,0.0,47.385673,-53.756172
Long Harbour-Mount Arlington Heights,24.324324324324326,0.0,47.385673,-53.756172
Southern Harbour,18.91891891891892,0.0,47.714619,-53.972145
Southern Harbour,22.972972972972975,1.3513513513513513,47.714619,-53.972145
Southern Harbour,24.324324324324326,2.7027027027027026,47.714619,-53.972145
Arnold's Cove,23.958333333333336,1.0416666666666665,47.772662,-53.9785
Arnold's Cove,26.595744680851062,3.1914893617021276,47.772662,-53.9785
Arnold's Cove,24.736842105263158,2.1052631578947367,47.772662,-53.9785
Come By Chance,17.391304347826086,0.0,47.802766,-53.998434
Come By Chance,20.0,0.0,47.802766,-53.998434
Come By Chance,17.391304347826086,4.3478260869565215,47.802766,-53.998434
Sunnyside,25.64102564102564,0.0,47.897371,-53.949718
Sunnyside,24.390243902439025,0.0,47.897371,-53.949718
Sunnyside,23.75,0.0,47.897371,-53.949718
Chance Cove,36.0,0.0,47.650815,-53.800656
Chance Cove,34.61538461538461,0.0,47.650815,-53.800656
Chance Cove,35.294117647058826,0.0,47.650815,-53.800656
Norman's Cove-Long Cove,30.303030303030305,4.545454545454546,47.561807,-53.695672
Norman's Cove-Long Cove,26.865671641791046,1.4925373134328357,47.561807,-53.695672
Norman's Cove-Long Cove,29.32330827067669,2.2556390977443606,47.561807,-53.695672
Chapel Arm,24.444444444444443,2.2222222222222223,47.518965,-53.674622
Chapel Arm,23.91304347826087,0.0,47.518965,-53.674622
Chapel Arm,24.175824175824175,1.098901098901099,47.518965,-53.674622
Whitbourne,23.52941176470588,1.1764705882352942,47.420064,-53.535784
Whitbourne,23.595505617977526,1.6853932584269662,47.420064,-53.535784
Whitbourne,23.655913978494624,2.1505376344086025,47.420064,-53.535784
Whiteway,31.08108108108108,6.756756756756757,47.665428,-53.485436
Whiteway,25.0,2.7777777777777777,47.665428,-53.485436
Whiteway,33.33333333333333,10.256410256410255,47.665428,-53.485436
Heart's Delight-Islington,29.230769230769234,0.0,47.759507,-53.481573
Heart's Delight-Islington,30.37037037037037,1.4814814814814816,47.759507,-53.481573
Heart's Delight-Islington,30.985915492957744,1.4084507042253522,47.759507,-53.481573
Heart's Desire,25.0,0.0,47.810467,-53.445571
Heart's Desire,26.08695652173913,0.0,47.810467,-53.445571
Heart's Desire,23.25581395348837,2.3255813953488373,47.810467,-53.445571
Heart's Content,29.411764705882355,0.0,47.872161,-53.368424
Heart's Content,35.294117647058826,0.0,47.872161,-53.368424
