Geographic name,percent elderly 65+ 2016,percent elderly 85+ 2016,percent elderly 65+ 2011,percent elderly 85+ 2011,Latitude,Longitude,predicted 65+,predicted 85+
Portugal Cove South,20.0,0.0,15.625,0.0,47.613369,-52.842377,26.125,0.0
Trepassey,36.734693877551024,2.0408163265306123,22.807017543859647,1.7543859649122806,46.737496,-53.364128,56.2334407447197,2.4418188327962866
St. Shott's,42.857142857142854,0.0,12.5,0.0,52.89,-60.511,85.35714285714312,0.0
Cape Broyle,19.148936170212767,0.0,20.0,2.0,47.095251,-52.95655,17.957446808510667,0.0
Renews-Cappahayden,29.03225806451613,0.0,15.151515151515152,3.0303030303030303,46.88541,-52.935499,48.465298142717984,0.0
Fermeuse,23.333333333333332,3.3333333333333335,15.625,0.0,46.976139,-52.944003,34.125,8.0
Aquaforte,37.5,0.0,25.0,0.0,47.006499,-52.958695,55.0,0.0
Ferryland,25.301204819277107,2.4096385542168677,19.35483870967742,2.1505376344086025,47.035664,-52.884379,33.626117372716635,2.7723798419484353
Gaskiers-Point La Haye,32.0,0.0,25.0,0.0,52.89,-60.511,41.80000000000018,0.0
Riverhead,29.72972972972973,0.0,21.428571428571427,0.0,52.89,-60.511,41.351351351351695,0.0
Mount Carmel-Mitchells Brook-St. Catherine's,32.35294117647059,0.0,25.71428571428571,2.857142857142857,47.132321,-53.497723,41.64705882352973,0.0
Colinet,33.33333333333333,0.0,33.33333333333333,0.0,47.219266,-53.552108,33.33333333333333,0.0
Branch,23.809523809523807,4.761904761904762,13.636363636363637,0.0,46.88206,-53.953498,38.05194805194742,11.428571428571331
Placentia,27.966101694915253,3.954802259887006,22.371967654986523,4.31266846361186,47.364083,-53.857708,35.797889350815694,3.4537895746722143
Fox Harbour,23.52941176470588,0.0,18.51851851851852,0.0,47.32123,-53.91255,30.544662309368277,0.0
Long Harbour-Mount Arlington Heights,25.0,0.0,19.35483870967742,3.225806451612903,47.385673,-53.756172,32.9032258064517,0.0
Southern Harbour,18.91891891891892,0.0,14.000000000000002,0.0,47.714619,-53.972145,25.80540540540528,0.0
Arnold's Cove,23.958333333333336,1.0416666666666663,17.708333333333336,1.0416666666666663,47.772662,-53.9785,32.708333333333485,1.0416666666666663
Come By Chance,17.391304347826086,0.0,25.0,0.0,47.802766,-53.998434,6.73913043478251,0.0
Sunnyside,25.64102564102564,0.0,17.391304347826086,0.0,47.897371,-53.949718,37.19063545150448,0.0
Chance Cove,36.0,0.0,27.58620689655172,0.0,47.650815,-53.800656,47.779310344827536,0.0
Norman's Cove-Long Cove,30.303030303030305,4.545454545454546,23.28767123287671,4.10958904109589,47.561807,-53.695672,40.124533001245254,5.155666251556653
Chapel Arm,24.444444444444443,2.2222222222222223,19.148936170212767,0.0,47.518965,-53.674622,31.85815602836874,5.333333333333371
Whitbourne,23.52941176470588,1.1764705882352942,20.224719101123593,1.1235955056179776,47.420064,-53.535784,28.155981493721356,1.2504957038995386
Whiteway,31.08108108108108,6.756756756756757,27.58620689655172,5.172413793103448,47.665428,-53.485436,35.973904939422255,8.97483690587137
Heart's Delight-Islington,29.230769230769234,0.0,22.388059701492537,1.4925373134328357,47.759507,-53.481573,38.810562571756236,0.0
Heart's Desire,25.0,0.0,19.047619047619047,0.0,47.810467,-53.445571,33.333333333333485,0.0
Heart's Content,29.411764705882355,0.0,27.77777777777778,0.0,47.872161,-53.368424,31.699346405228653,0.0
New Perlican,26.31578947368421,0.0,19.047619047619047,0.0,47.907784,-53.361034,36.491228070175566,0.0
Winterton,36.95652173913043,4.3478260869565215,28.000000000000004,2.0,47.955667,-53.329588,49.49565217391273,7.634782608695673
Hant's Harbour,25.806451612903224,0.0,24.24242424242424,3.0303030303030303,48.005558,-53.26773,27.996089931573692,0.0
Old Perlican,18.181818181818183,3.0303030303030303,16.666666666666664,3.0303030303030303,48.082531,-53.005519,20.303030303030255,3.0303030303030303
Bay de Verde,30.76923076923077,2.564102564102564,21.951219512195124,0.0,48.085194,-52.895034,43.114446529080396,6.1538461538459615
Small Point-Adam's Cove-Blackhead-Broad Cove,26.31578947368421,0.0,25.64102564102564,2.564102564102564,47.837682,-53.098649,27.260458839406198,0.0
Salmon Cove,23.52941176470588,0.0,18.181818181818183,0.0,47.782033,-53.175116,31.016042780749103,0.0
Carbonear,25.0,4.069767441860465,22.664015904572565,4.572564612326044,47.722624,-53.228726,28.270377733598366,3.3658514032086657
Harbour Grace,24.836601307189543,1.96078431372549,19.5046439628483,2.1671826625387,47.696724,-53.21369,32.301341589267395,1.6718266253869984
Upper Island Cove,21.474358974358974,1.6025641025641024,17.86833855799373,1.2539184952978055,47.648062,-53.212829,26.52278755727025,2.090667952736908
Bishop's Cove,26.666666666666668,0.0,23.333333333333332,0.0,52.89,-60.511,31.333333333333258,0.0
Spaniard's Bay,18.846153846153847,0.7692307692307693,14.942528735632186,0.7662835249042145,47.58166,-53.273277,24.31122900088417,0.773356911287946
Bay Roberts,18.19757365684575,1.0398613518197577,14.385964912280702,1.0526315789473684,47.598168,-53.257591,23.533825899236945,1.021983033841103
North River,18.96551724137931,1.7241379310344829,15.789473684210526,1.7543859649122806,47.542792,-53.314469,23.41197822141544,1.6817906836055663
Clarke's Beach,34.08360128617363,7.395498392282958,24.014336917562723,7.168458781362006,47.552354,-53.285857,48.18057140222891,7.713353847572279
South River,20.8955223880597,2.9850746268656714,13.432835820895525,0.0,47.554499,-53.287575,31.343283582089498,7.1641791044776255
Cupids,22.22222222222222,1.3888888888888888,16.43835616438356,1.36986301369863,47.561551,-53.205869,30.319634703196698,1.4155251141552512
Brigus,26.38888888888889,0.0,20.27027027027027,0.0,47.535825,-53.207761,34.954954954955156,0.0
Colliers,21.53846153846154,1.5384615384615383,15.384615384615383,0.0,52.89,-60.511,30.15384615384619,3.6923076923076223
Conception Harbour,20.437956204379564,1.45985401459854,16.428571428571427,1.4285714285714286,47.446647,-53.203554,26.051094890511195,1.5036496350364938
Avondale,21.875,1.5625,18.96551724137931,0.0,47.420665,-53.198308,25.948275862069067,3.75
Harbour Main-Chapel's Cove-Lakeview,19.158878504672895,2.803738317757009,14.285714285714285,2.3041474654377883,47.432795,-53.160254,25.981308411214968,3.503165511003914
Holyrood,21.22448979591837,2.0408163265306123,16.097560975609756,1.951219512195122,47.379666,-53.165663,28.40219014435047,2.166251866600298
Conception Bay South,13.63106796116505,0.6601941747572815,11.088295687885012,0.5338809034907598,47.49821,-52.990122,17.190949143757166,0.8370327545304193
Wabana,24.0,1.0,17.647058823529413,0.904977375565611,52.89,-60.511,32.89411764705892,1.1330316742081408
Portugal Cove-St. Philip's,12.5,0.6127450980392157,10.273972602739724,0.684931506849315,47.613369,-52.842377,15.616438356164394,0.5116841257050773
Pouch Cove,13.861386138613865,1.4851485148514851,11.538461538461538,0.5494505494505495,47.763632,-52.765906,17.113480578827193,2.795125666412787
Flatrock,8.187134502923977,0.5847953216374269,7.586206896551724,0.0,47.700755,-52.726367,9.02843315184515,1.403508771929836
Torbay,9.585492227979271,0.38860103626943,6.815020862308763,0.278164116828929,47.66621,-52.77041,13.464152139917815,0.5432127234861284
Logy Bay-Middle Cove-Outer Cove,15.315315315315312,0.9009009009009008,12.38095238095238,0.9523809523809524,47.623843,-52.691422,19.4234234234234,0.8288288288288328
